Food,Grams,Protein,Fat,Carbs,Healthiness_Score
Beer,100,0.0,0.0,1.6666666666666667,0.4166666666666667
Gin,100,0.0,0.0,0.0,0.0
Wines,100,0.0,0.0,7.5,1.875
Table (12.2% alcohol),100,0.0,0.0,4.166666666666666,1.0416666666666665
Carbonated drinks Artificially sweetened,100,0.0,0.0,0.0,0.0
Club soda,100,0.0,0.0,0.0,0.0
Cola drinks,100,0.0,0.0,10.982658959537572,2.745664739884393
Fruit-flavored soda,100,0.0,0.0,12.138728323699421,3.0346820809248554
Ginger ale,100,0.0,0.0,8.092485549132949,2.023121387283237
Root beer,100,0.0,0.0,10.115606936416185,2.5289017341040463
Coffee,100,0.0,0.0,0.43478260869565216,0.10869565217391304
Tea,100,0.0,0.0,0.43478260869565216,0.10869565217391304
